Progress,Jimboy Calloway - 1,Dexter - 2,Samuel - 3,Chai-An - 4,Bastion - 5,Bloody Scarf - 6,Lucian Corneilius-7,Lucy Jones-8,Duvamil Timbers-9,Kallista Spector-10,Zanna Garrick-11,Count Valgo-12,Portrait-13,Destroyed Mechanical Part-14,,,,,,,,,,,,Getting rid of those nasty carriage returns
11,N/A,N/A,N/A,The reason being is the disturbing items that were found at the scene. That bloody scarf| being one of them.%%,N/A,*,N/A,What're you thinking about| Inspector?,Zanna's greatest mistake as a student was that she always knew she could do it| but never stopped and asked if she could do it.,There's a mysterious aura to this fire pit. What could it be for?,Look at me| revealing all of my thoughts and feelings. To a ghost. After we've both been dead. This is ridiculous.,Death has only revealed one thing to me| and that it isn't necessarily the end as we feared in our lives. It is only the beginning.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
12,N/A,N/A,N/A,In exchange for what I know| you'll land me an interview with Mayor Samuel. Deal? Deal. In my initial research| the name &Lucian Corneilius& continued to pop up. He certainly sounds like an erratic being| maybe Bastion would know.%,N/A,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
13,Didn't I tell ya! Chai-An is the greatest.,Remember| you are a defensive fighter. Use evasion to your advantage.,Lucian Corneilius? I can't say I am familiar with the name. It would be wise to follow up on Chai-An's suggestion: Bastion the Bartender.,It's always a pleasure negotiating information.,Chai-An decided to recommend you to me| then| huh?%%,*,Inspector| if we continue to run into each other like this| I'm convinced we're fated to cross paths.,If I were to guess| I'd believe you were in your... late forties in life?,I'm an old-man rambling| in death| to another dead man. That's an interesting way to view life.,There's a mysterious aura to this fire pit. What could it be for?,If you had a chance to go back and try your life again| Inspector| would you?,Inspector! A detective who is responsible for taking down an entire criminal organization| only to end up here| with the rest of us. There is no shame in that!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
14,N/A,N/A,N/A,N/A,A drink for your troubles? I suppose going to a bar wouldn't me much different in death. It is the place of information| after all.%%,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
15,N/A,N/A,N/A,N/A,Lucian Corneilius. I can't say I know much about him| but I know he likes to hang out in the plaza. If he's connected to the crime like you say he is; then your best bet would be there.%,*,N/A,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
16,So| you want to hear a story?,Do not forget| to use J to view your journal.,I'm counting on you| old friend.,Don't forget to get me an interview| Inspector!,You owe me a drink| Inspector.,You've found a bloody scarf.%,A bloody scarf? I didn't think it was possible for Ghosts to leave traces of their remains behind.,I'm surprised that we're able to find ourselves so active| even in death. Our bodies are probably stationary.,The series of disappearances has my interest| but I don't really know where to start.,There's a mysterious aura to this fire pit. What could it be for?,After the first few string of crimes I assisted with| I started feeling good about them. It funded my developments| at the cost of others' happiness.,You are welcomed to joining our cause| Inspector!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
17,So| you want to hear a story?,Do not forget| to use J to view your journal.,I'm counting on you| old friend.,Don't forget to get me an interview| Inspector!,Good luck on your investigation| Inspector.,*,You've finally caught on| Inspector. I'm not surprised; after all| you were one of the greatest Inspectors to exist!%%,Sorry Inspector| I don't know much about the disappearances.,As a blacksmith| I focus on welding materials together. It's a peaceful way of life.,There's a mysterious aura to this fire pit. What could it be for?,My next invention will be the greatest of them all...,Do you believe that your death was unjust| Inspector?,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
18,N/A,N/A,N/A,N/A,N/A,*,Even if you were to strike me down| there are two others in our rank! We will have the final laugh.%%,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
19,N/A,N/A,N/A,N/A,N/A,*,After you caused my death| I couldn't simply rest peacefully. We decided to target you. You cannot defeat me| even with a spiritual guardian on your side! Prepare to fight!%%%,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,N/A,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,*,,,,,,,,,,,,Getting rid of those nasty carriage returns
20,Keep your head down| Inspector! There seems to be some kind of flying eye monster floating about!,Congratulations on defeating Lucian. You have now entered the second phase of your journey. ,With the defeat of Lucian Corneilius| we're one stop closer to defeating this group of villains.%%,Ew| what is that? ,To think death would be as chaotic as life is; I suppose there is some humor to be found in that. Congratulations on defeating Lucian Corneilius.,*,You've defeated me... even if I fall here| the others will get their vengeance on you.,L-u-c-y J-o-n-e-s. The one with the happiest life| only to lose it all early.,Duvamil Timbers is the name. ,There's a mysterious aura to this fire pit. What could it be for?,Lucian Corneilius was revealed to be a part of the series of disappearances? Interesting.,To think Lucian Corneilius was a criminal amongst the Ghosts of Blightingham! It is with great shame and disappointment that this is how it turned out.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
21,N/A,N/A,You said that he mentioned he was receiving assistance; correct? It would explain why those strange looking eyes appeared suddenly. It has everyone on edge| the city is under siege.%%,N/A,N/A,*,*,A drink| a drink| a drink....,Is there anything I can do for you| Inspector?,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,Fear not| denizens of Blightingham! Behind each corrupted spirit| there lies a good spirit ready to defeat them.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
22,N/A,N/A,Do your best to avoid getting detected by that monstrosity| Inspector! We don't know what it'll do to you.%,N/A,N/A,*,*,What's there to drink...?,If I were you| I'd recommend you fly low and not to close to the sun. Does this town even have a sun?,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,If we allow these criminals to run rampant in Blightingham| what does that say about us? Those who have died and are afraid to die again?,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
23,I'm staying in! I don't want to die when I'm already dead!,It would be in your best interest to avoid getting detected by that eye.,With one down| I know you can bring the others into justice.,I've caught a glimpse of the eye... it looks really disgusting.,That eye certainly reminds me of something.,*,*,This bar has certainly seen better days; I mean| come on. No one wants to party because of spooky eye in the sky? We're ghosts already.%%,I'm busy at the moment.,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,If we are going to save Blightingham| I humbly ask that you all come together behind me| and allow me to lead you to a brighter future!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
24,N/A,N/A,N/A,N/A,N/A,*,*,Oh| Inspector! To what do I owe the pleasure? Shall I buy you a drink?%%,N/A,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,Inspector| I thank you for your service for the denizens of Blightingham!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
25,N/A,N/A,N/A,N/A,N/A,*,*,You're investigating all of this madness| huh... well| if I were you| why not ask the Mayor to allow you to call for assistance? Your wife was an inspector as well. Maybe she'd be able to make sense of it.%,N/A,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,Do not be afraid to contact me for assistance| Inspector.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
26,Inspector! Stop them!,Avoid the eye!,Lucy Jones recommended that you come back to speak with me? Leave it to the widow to know about Blightingham's greatest secret....%%,Don't forget to get my interview|Inspector!,It only takes Lucy to make bartending worth something around here. She's an exciting patron.,*,*,The mayor may have a special tool that can assist you. Check with him.,It's getting crazier out there| Inspector.,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,it has been brought to my attention that there's a portrait that slanders my name! Even in death| it is impossible to avoid scandal!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
27,N/A,N/A,One of Blightingham's greatest secrets is that we have the means to communicate with the otherside| the world of the living. %%,N/A,N/A,*,*,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
28,N/A,N/A,It's a power that is reserved to be used as a last resort| but if you think that your wife| Kallista Spector| will be able to help you with this| then I shall approve.%%,N/A,N/A,*,*,N/A,N/A,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
29,If only my stead were here....,The eye will go away after you defeat the owner of it.,To activate the device| all you have to do is approach the newly formed fire pit. Then| you two will be able to communicate with each other.%,You're resorting to your living wife to help with the case? That's interesting.,Two Inspectors fell in love| huh?,*,*,Don't forget the power of your wife| Inspector.,I'm working on a tool at the moment.,There's a mysterious aura to this fire pit. What could it be for?,If it's not an issue with you| Inspector| I have business to attend to.,Together| we shall ascend through the twisted| evilness that lies within Blightingham!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
30,Did you know that JimBoy Calloway is short for Jimothy Calloway?,It is a bold move to contact the world of the living.,We're counting on you| Inspector.,Who could've thought I'd have so much reporting to do in the after life?,What can I get for you| Inspector?,*,*,What's there to drink...?,Inspector. An inspector who is a Ghost. Maybe my name should've been Blacksmith Specter.,Specter! It's you! I never thought I'd hear from you again.%%,If it's not an issue with you| Inspector| I have business to attend to.,Fear not| and believe in Count Valgo!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
31,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You're contacting me about a case that you're working on? You're working| even in death? Some things never change!%%,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
32,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,In our world| the criminals that we've arrested have all recently been sentenced to death. You know who caught and arrested them| right? Us. It's not impossible that they'd try to extract revenge. If I remember correctly| RONIN was their leader. Perhaps he is cooling the strings?%%,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
33,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,With that in mind| with their deaths occurring| and the appearance of people targeting you| it's possible they want revenge| even in death.%%,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
34,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,As much as I'd love to help you| it feels as if our connection is fading. Rely on your allies| and remember| I miss you| Inspector.%,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
35,Did ya see my horse?,Welcome back| Inspector.,I hope that helped you| Inspector. She mentioned that they were people that you sentenced to jail in life? Interesting. You should speak with Duramil Timbers| the blacksmith of Blightingham.%,What's the scoop?,It must've been a nice experience to be able to talk with your loved ones| again.,*,*,How was your wife doing?,I'm starting to get concerned.,You approach the fire pit and nothing happens.,*,There is nothing that we cannot accomplish if we stand together!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
36,Hell yeah| Inspector! ,Do not forget to use your journal| if you need it.,Speak with Duramil Timbers| and we may be able to discover the location of the last two enemies!,Now you're getting a blacksmith involved? Are we getting compensated for this? Do ghosts require compensation?,The blacksmith? Timbers. I wouldn't consider him competition| he's a pretty straight-forward guy.,*,*,I hope that you succeed| Inspector. It's lonely when no one is at the bar.,You must be the Inspector that everyone's talking about.%%,You approach the fire pit and nothing happens.,*,With all of my power| I shall assist the Mayor and the Inspector in defeating the remaining criminals!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
37,N/A,N/A,N/A,N/A,N/A,*,*,N/A,Ever since that mechanical eye took to the skies| I haven't seen a ghost enter the shop. You takin' care of it?%%,You approach the fire pit and nothing happens.,*,There is nothing to fear! We shall fight| and stand together!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
38,I'm rootin' for you| Inspector!,Keep your head down| Inspector!,Please be careful| Inspector.,You've got some enemies| Inspector!,To be able to take a grudge to the grave and still want to enact on it| is rather interesting.,*,*,To think they're doing all this to kill you| when you're already dead...,Judging by the make| it appears to be Zanna's.%,You approach the fire pit and nothing happens.,*,Together| we will move forward!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
39,I'm rootin' for you| Inspector!,Keep your head down| Inspector!,To think she was capable of preparing a weapon like that| it is terrifying.,How does time pass here| anyways?,To go back to the simpler days of being able to drink in peace...,*,*,You're enemies are committed| that's for sure.,Zanna is a tricky one; she'll use whatever means she can to achieve victory. She may be a bigger threat than Lucian.,You approach the fire pit and nothing happens.,Inspector! It appears you've finally caught on. It was I| Zanna| the master of technology!%%,*,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
40,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,It took you long enough to deduce that I was a part of the crime going on here; after all| who could create such beautiful technology? No one is my equal! %%,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
41,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,You may have defeated Lucian| but it stops here| with me| Zanna!%%%,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
42,Yee'haw| Inspector! You're kickin' ass!,Congratulations on defeating Zanna. Her tactics were tricky| and her machine was a threat to this town.,Inspector| excellent work. I've received notification that the monstrosity that has been hovering around Blightingham is no more. The city owes you a great debt| and we cannot thank you enough. Despite defeating two of them| there's the problem remaining of the mastermind being out there.%%,What are the chances of me scoring an interview with you when this is over?,Your actions are heroic| Inspector.,*,*,Two crazy ghosts down| one to go| Inspector!,So| you've managed to defeat Zanna. I'm impressed| she was always fanactical about her wares.,You approach the fire pit and nothing happens.,Ugh... I can't... believe I lost... to you... even in death. Even if I die| again| you're still being fooled....,*,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
43,N/A,N/A,Remember how you managed to get this far; through the citizens; nay| your allies. Through them| there'll be an answer as to where Ronin is.%%,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
44,N/A,N/A,We're counting on you| Inspector.%,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,*,N/A,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
45,If you're at the tail-end of your case| where do you think the bad guy would go? My guess would be somewhere he can take center-stage.%,With two of the villains defeated| there lies only one. Defeat him| and bring peace back to Blightingham.,Is there something you need from me| Inspector?,Ah! This is so exciting!,After this is all said and done with| you should come by for a drink. It'll be on my tab.,*,*,To think that there'd be so much drama in death....,All this attention will surely bring me some new customers| Inspector.,You approach the fire pit and nothing happens.,*,Another criminal has been revealed| Zanna Garrick! A failed inventor in life who sought to create chaos even in death. Pathetic!,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
46,Back in the West| duels were done dramatically. ,Speak with your allies and reveal the location of your foe.,You've done much for our world| Inspector. When you take down Count| you'll be a hero as you were in life.,One final target| maybe Bastion knows the answer.,If I were your nemesis| and I wanted to fight you in death| wouldn't it make sense for me to stir up a show?%,*,*,Do you need something?,What can I get ya?,You approach the fire pit and nothing happens.,*,All will be revealed soon| and my spirit will dictate the faith of this town.,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
47,Kick his ass| Inspector!,It is time.,I do not doubt your imminent success| Inspector.,Nothing escapes this reporter| Inspector| I've discovered that the Count is not what he seems.%,Maybe I should make drinks free for everyone| after this... it'd be good for business.,*,*,I bet Kallista was happy to hear from you.,If only weaponry could be used here.,You approach the fire pit and nothing happens.,*,*,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
48,Glad I was of assistance| Inspector!,Good luck with concluding your case| Inspector!,The residents of Blightingham thanks you| Inspector.,Don't forget| I want exclusive details!,It's on the house when you're done.,*,*,Good luck| Inspector!,Don't forget to give me an endorsement.,You approach the fire pit and nothing happens.,*,Inspector! I've waited a long time for this. I will not be denied my one attempt of erasing you from this world. After all| we've both already died.%%,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
49,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,*,The others were pawns who never were going to amount to anything| It's pathetic how easily it was to manipulate them to work for me| in death| even after they slaved away for me. You were slow to catch on| as I disregarded the name RONIN to take on the identity of Valgo!%%,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
50,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,*,Why am I doing all of this? Because I was on the verge of success in life... I've struck the perfect deal that would've lead me to having more money than I could ever spend| until you robbed me of my dream! Then| when I was sentenced to death| I found that death wasn't the end... that I could become great here. The only problem was that fate would have you remain.%%,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
51,N/A,N/A,N/A,N/A,N/A,*,*,N/A,N/A,You approach the fire pit and nothing happens.,*,This is pathetic| I'm going to eliminate you once and for all| and claim my dream of greatness! Come at me| Inspector!%%%,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
52,We shall ride together some day| Inspector!,Congratulations| you've beaten the game.%,I am in your debt| Inspector.,This is the scoop of a century...!,Well| what can I get ya| savior?,*,*,We're safe now? Though| the fear of death when we're already dead is strange... thanks| Inspector.,Given your popularity| you should give me an endorsement...,You feel a wave of peace overwhelm your spirit| as your wife thinks of you.,*,I can't believe I lost to you.... again... It was all for nothing...,When you approached this portrait| you felt a strange sensation from it. The thought| &Don't trust the Count&| came to mind.,,,,,,,,,,,,,Getting rid of those nasty carriage returns
53,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
54,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
55,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
56,,,The story is over,The story is over,The story is over,The story is over,The story is over,The story is over,The story is over,The story is over,The story is over,The story is over,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
,,,,,,,,,,,,,,,,,,,,,,,,,,Getting rid of those nasty carriage returns
