Progress,Speaker,Text,,,The text from the % cell in dialog (for reference only)
25,Lucy Jones: ,I spoke with a rather sadder ghost than others named Lucy; she revealed that the Mayor has the technology to contact the world of the living. I'll speak with him.,,Lucy Jones-8,You're investigating all of this madness| huh... well| if I were you| why not ask the Mayor to allow you to call for assistance? Your wife was an inspector as well. Maybe she'd be able to make sense of it.%
26,,,,Samuel - 3,Lucy Jones recommended that you come back to speak with me? Leave it to the widow to know about Blightingham's greatest secret....%%
27,,,,Samuel - 3,One of Blightingham's greatest secrets is that we have the means to communicate with the otherside| the world of the living. %%
28,,,,Samuel - 3,It's a power that is reserved to be used as a last resort| but if you think that your wife| Kallista Spector| will be able to help you with this| then I shall approve.%%
29,Samuel: ,A device to communicate with the world of the living...? Is such a device possible? I suppose there's only one way to find out. It is located in Townhall.,,Samuel - 3,To activate the device| all you have to do is approach the newly formed fire pit. Then| you two will be able to communicate with each other.%
30,,,,Kallista Spector-10,Spector! It's you! I never thought I'd hear from you again.%%
31,,,,Kallista Spector-10,You're contacting me about a case that you're working on? You're working| even in death? Some things never change!%%
32,,,,Kallista Spector-10,In our world| the criminals that we've arrested have all recently been sentenced to death. You know who caught and arrested them| right? Us. It's not impossible that they'd try to extract revenge. If I remember correctly| RONIN was their leader.%%
33,,,,Kallista Spector-10,With that in mind| with their deaths occurring| and the appearance of people targeting you| it's possible they want revenge| even in death.%%
34,Kallista Spector: ,To think I was able to speak with my wife once again| it sounds unreal| but then again| I'm a ghost working on a case in the after-life. I don't know what to think| but it was nice to hear her voice again. She thinks that they are people who died that I arrested. I should follow up on this with the technological capable people in town.,,Kallista Spector-10,As much as I'd love to help you| it feels as if our connection is fading. Rely on your allies| and remember| I miss you| Inspector.%
35,Samuel: ,The Mayor's ability to allow me to talk to my wife was a welcome change| and he managed to provide a useful name: DUVAMIL TIMBERS| a black-smith that residents in Blightingham. I should look for him.,,Samuel - 3,I hope that helped you| Inspector. She mentioned that they were people that you sentenced to jail in life? Interesting. You should speak with Duramil Timbers| the blacksmith of Blightingham.%
36,,,,Duvamil Timbers-9,You must be the Inspector that everyone's talking about.%%
37,,,,Duvamil Timbers-9,Ever since that mechanical eye took to the skies| I haven't seen a ghost enter the shop. You takin' care of it?%%
38,Duvamil Timbers: ,I learned from the Duvamil that this belonged to ZANNA GARRICK| the mechanist of this town. To think that was she was working for the enemy team this entire time....,,Duvamil Timbers-9,Judging by the make| it appears to be Zanna's.%
39,,,,Zanna Garrick-11,Inspector! It appears you've finally caught on. It was I| Zanna| the master of technology!%%
40,,,,Zanna Garrick-11,It took you long enough to deduce that I was a part of the crime going on here; after all| who could create such beautiful technology? No one is my equal! %%
41,Zanna Garrick: ,I've defeated Zanna Garrick| which means two members behind this attack have been taken down| but she mentioned that I'm being fooled... by who| I wonder? I should report back to Samuel at the TOWNHALL.,,Zanna Garrick-11,You may have defeated Lucian| but it stops here| with me| Zanna!%%%
42,,,,Samuel - 3,Inspector| excellent work. I've received notification that the monstrosity that has been hovering around Blightingham is no more. The city owes you a great debt| and we cannot thank you enough. Despite defeating two of them| there's the problem remaining of the mastermind being out there.%%
43,,,,Samuel - 3,Remember how you managed to get this far; through the citizens; nay| your allies. Through them| there'll be an answer as to where Ronin is.%%
44,Samuel: ,The Mayor and I deduced that this is the work of RONIN| an enemy of mine from life. If I'm going to find out where he's at| it'll be through the help of the others.,,Samuel - 3,We're counting on you| Inspector.%
45,Jimboy Calloway: ,Jimboy Calloway thinks he'd be somewhere center-stage... I don't disagree with him. Knowing Ronin| he likes to have an audience. I should follow up with Chai-An| at the bar.,,Jimboy Calloway - 1,If you're at the tail-end of your case| where do you think the bad guy would go? My guess would be somewhere he can take center-stage.%
46,Bastion:,Bastion believes that my nemesis is attempting to create a grand stage| if he were to| my guess would be at the Church| if he possesses such a highly attitude.,,Bastion - 5,If I were your nemesis| and I wanted to fight you in death| wouldn't it make sense for me to stir up a show?%
47,,,,Chai-An - 4,Nothing escapes this reporter| Inspector| I've discovered that the Count is not what he seems.%
48,,,,Count Valgo-12,Inspector! I've waited a long time for this. I will not be denied my one attempt of erasing you from this world. After all| we've both already died.%%
49,,,,Count Valgo-12,The others were pawns who never were going to amount to anything| It's pathetic how easily it was to manipulate them to work for me| in death| even after they slaved away for me.%%
50,,,,Count Valgo-12,Why am I doing all of this? Because I was on the verge of success in life... I've struck the perfect deal that would've lead me to having more money than I could ever spend| until you robbed me of my dream! Then| when I was sentenced to death| I found that death wasn't the end... that I could become great here. The only problem was that fate would have you remain.%%
51,,,,Count Valgo-12,This is pathetic| I'm going to eliminate you once and for all| and claim my dream of greatness! Come at me| Inspector!%%%
52,,,,Dexter - 2,Congratulations| you've beaten the game.%
53,,,,#N/A,#N/A
54,,,,#N/A,#N/A
55,,,,#N/A,#N/A
56,,,,#N/A,#N/A
57,,,,#N/A,#N/A
58,,,,#N/A,#N/A
59,,,,#N/A,#N/A
60,,,,#N/A,#N/A
61,,,,#N/A,#N/A
62,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
